Ether / IP / UDP 10.207.246.96:47604 > 10.207.255.255:5684 / Raw
Ether / IP / UDP 10.207.178.22:54915 > 10.207.255.255:54915 / Raw
Ether / IP / UDP 10.207.202.147:50036 > 10.207.255.255:1947 / Raw
Ether / IP / UDP 10.207.246.96:33451 > 10.207.255.255:5684 / Raw
Ether / IP / UDP 10.207.84.14:5684 > 10.207.255.255:5684 / Raw
Ether / IP / TCP 10.207.106.226:36044 > 124.70.83.207:22114 A / Raw
Ether / IP / TCP 124.70.83.207:22114 > 10.207.106.226:36044 A
Ether / IP / UDP 10.207.0.66:62955 > 255.255.255.255:15000 / Raw
Ether / IP / UDP 10.207.246.96:53242 > 10.207.255.255:5684 / Raw
Ether / IP / UDP 10.207.34.231:5684 > 10.207.255.255:5684 / Raw
Ether / IP / TCP 10.207.106.226:35538 > 116.132.233.177:https A / Raw
Ether / IP / TCP 116.132.233.177:https > 10.207.106.226:35538 A
Ether / IP / UDP 10.207.107.114:54915 > 10.207.255.255:54915 / Raw
Ether / IP / UDP 10.207.246.96:35237 > 10.207.255.255:5684 / Raw
Ether / IP / UDP 10.207.74.143:5684 > 10.207.255.255:5684 / Raw
c4:0d:96:6d:5a:60 > ff:ff:ff:ff:ff:ff (0x9998) / Raw
Ether / IP / UDP 10.207.26.5:5684 > 10.207.255.255:5684 / Raw
Ether / IP / UDP 10.207.66.128:59561 > 10.207.255.255:1947 / Raw
Ether / IP / UDP 10.207.160.89:5684 > 10.207.255.255:5684 / Raw
Ether / IP / UDP 10.207.34.231:5684 > 10.207.255.255:5684 / Raw
